,year,state,treatment,patient,cost,treatment_category
0,2018,Others,abdominal/peritoneal/biliary and related procedures,176.0,80235.58843781191,Other Diseases
1,2018,Others,complex gi procedures,15.0,21323.0679999999,Other Diseases
2,2018,Others,comprehensive observation services,1333.0,116186.3232178864,Other Diseases
3,2018,Others,implantation of drug infusion device,24.0,152708.149999999,Other Diseases
4,2018,Others,level 1 breast/lymphatic surgery and related procedures,62.0,56890.3874542123,Other Diseases
5,2018,Others,level 1 endovascular procedures,442.0,147268.58662672818,Other Diseases
6,2018,Others,level 1 intraocular procedures,297.0,25020.22044852739,Other Diseases
7,2018,Others,level 1 laparoscopy and related services,350.0,161669.4854385512,Other Diseases
8,2018,Others,level 1 nerve procedures,80.0,29175.578903288733,Other Diseases
9,2018,Others,level 2 breast/lymphatic surgery and related procedures,103.0,91466.4252916666,Other Diseases
10,2018,Others,level 2 electrophysiologic procedures,20.0,39625.4324999999,Respiratory
11,2018,Others,level 2 endovascular procedures,276.0,128937.94217431972,Other Diseases
12,2018,Others,level 2 excision/ biopsy/ incision and drainage,583.0,52310.04356232464,Other Diseases
13,2018,Others,level 2 icd and similar procedures,49.0,435680.986823528,Respiratory
14,2018,Others,level 2 intraocular procedures,66.0,66725.7847428571,Other Diseases
15,2018,Others,level 2 laparoscopy and related services,93.0,181732.53992094862,Other Diseases
16,2018,Others,level 2 musculoskeletal procedures,179.0,53958.26879055255,Other Diseases
17,2018,Others,level 2 pacemaker and similar procedures,46.0,29785.9839130434,Respiratory
18,2018,Others,level 2 upper gi procedures,182.0,44897.7375860091,Other Diseases
19,2018,Others,level 3 airway endoscopy,14.0,10149.7429411764,Other Diseases
20,2018,Others,level 3 electrophysiologic procedures,234.0,366274.320821595,Respiratory
21,2018,Others,level 3 endovascular procedures,335.0,363225.9812307944,Other Diseases
22,2018,Others,level 3 excision/ biopsy/ incision and drainage,94.0,74896.66884635213,Other Diseases
23,2018,Others,level 3 musculoskeletal procedures,229.0,76705.62551771733,Other Diseases
24,2018,Others,level 3 pacemaker and similar procedures,100.0,208521.3549018137,Respiratory
25,2018,Others,level 3 upper gi procedures,19.0,16098.4326315789,Other Diseases
26,2018,Others,level 3 urology and related services,113.0,52741.955267973695,Other Diseases
27,2018,Others,level 4 airway endoscopy,31.0,14203.2238709677,Respiratory
28,2018,Others,level 4 endovascular procedures,54.0,157122.3456159421,Other Diseases
29,2018,Others,level 4 gynecologic procedures,39.0,51189.5622246502,Other Diseases
30,2018,Others,level 4 musculoskeletal procedures,357.0,213255.0889223286,Other Diseases
31,2018,Others,level 4 neurostimulator and related procedures,14.0,185193.992857142,Other Diseases
32,2018,Others,level 4 pacemaker and similar procedures,52.0,79180.0953846153,Respiratory
33,2018,Others,level 4 urology and related services,126.0,62894.096335576796,Other Diseases
34,2018,Others,level 5 ent procedures,18.0,25369.99,Other Diseases
35,2018,Others,level 5 gynecologic procedures,26.0,32464.7199999999,Other Diseases
36,2018,Others,level 5 musculoskeletal procedures,114.0,139471.3855096049,Other Diseases
37,2018,Others,level 5 urology and related services,311.0,98335.5173193039,Other Diseases
38,2018,Others,abdominal/peritoneal/biliary and related procedures,1273.0,704887.2724185507,Other Diseases
39,2018,Others,cochlear implant procedure,39.0,186108.0624458873,Other Diseases
40,2018,Others,complex gi procedures,257.0,356579.4076865345,Other Diseases
41,2018,Others,comprehensive observation services,18240.0,1037198.6714271823,Other Diseases
42,2018,Others,implantation of drug infusion device,16.0,82130.273125,Other Diseases
43,2018,Others,level 1 breast/lymphatic surgery and related procedures,875.0,554409.0972552872,Other Diseases
44,2018,Others,level 1 endovascular procedures,8705.0,869137.8680509891,Other Diseases
45,2018,Others,level 1 icd and similar procedures,173.0,1180015.4738764218,Respiratory
46,2018,Others,level 1 intraocular procedures,5242.0,414975.29789715924,Other Diseases
47,2018,Others,level 1 laparoscopy and related services,4146.0,1318551.883464233,Other Diseases
48,2018,Others,level 1 nerve procedures,1737.0,376758.240706181,Other Diseases
49,2018,Others,level 2 breast/lymphatic surgery and related procedures,909.0,720272.8244297974,Other Diseases
50,2018,Others,level 2 electrophysiologic procedures,65.0,117816.7833892772,Respiratory
51,2018,Others,level 2 endovascular procedures,1949.0,954032.3010955962,Other Diseases
52,2018,Others,level 2 excision/ biopsy/ incision and drainage,6312.0,523254.35148070933,Other Diseases
53,2018,Others,level 2 icd and similar procedures,717.0,4128597.033612704,Respiratory
54,2018,Others,level 2 intraocular procedures,1500.0,206035.35212044758,Other Diseases
55,2018,Others,level 2 laparoscopy and related services,1284.0,1223636.6620034017,Other Diseases
56,2018,Others,level 2 musculoskeletal procedures,1517.0,480644.26587942516,Other Diseases
57,2018,Others,level 2 neurostimulator and related procedures,208.0,279137.4487251767,Other Diseases
58,2018,Others,level 2 pacemaker and similar procedures,570.0,863104.9109469,Respiratory
59,2018,Others,level 2 upper gi procedures,5312.0,449064.7640855061,Other Diseases
60,2018,Others,level 3 airway endoscopy,842.0,209391.87819513475,Other Diseases
61,2018,Others,level 3 electrophysiologic procedures,1411.0,1978149.0079942502,Respiratory
62,2018,Others,level 3 endovascular procedures,4787.0,2310192.6889188355,Other Diseases
63,2018,Others,level 3 excision/ biopsy/ incision and drainage,1153.0,621827.5405361081,Other Diseases
64,2018,Others,"level 3 extraocular, repair, and plastic eye procedures",735.0,80535.43795895121,Other Diseases
65,2018,Others,level 3 lower gi procedures,356.0,353443.6063452009,Other Diseases
66,2018,Others,level 3 musculoskeletal procedures,3412.0,944182.3385831991,Other Diseases
67,2018,Others,level 3 neurostimulator and related procedures,170.0,552796.1141554241,Other Diseases
68,2018,Others,level 3 pacemaker and similar procedures,1389.0,1788783.7423365333,Respiratory
